timestamp,milivolt,miliamp,miliwatt
1651299588,11860,461,5467.46
1651299589,11860,461,5467.46
1651299590,11860,461,5467.46
1651299591,11860,460,5455.6
1651299592,11860,460,5455.6
1651299593,11860,460,5455.6
1651299594,11860,461,5467.46
1651299595,11860,460,5455.6
1651299596,11860,461,5467.46
1651299597,11860,460,5455.6
1651299598,11860,461,5467.46
1651299599,11860,461,5467.46
1651299600,11860,461,5467.46
1651299601,11860,461,5467.46
1651299602,11860,461,5467.46
1651299603,11860,460,5455.6
1651299604,11860,460,5455.6
1651299605,11860,461,5467.46
1651299606,11860,461,5467.46
1651299607,11860,461,5467.46
1651299608,11860,461,5467.46
1651299609,11860,462,5479.32
1651299610,11860,461,5467.46
1651299611,11860,461,5467.46
1651299612,11860,462,5479.32
1651299613,11860,461,5467.46
1651299614,11860,460,5455.6
1651299615,11860,461,5467.46
1651299616,11860,461,5467.46
1651299617,11860,462,5479.32
1651299618,11860,460,5455.6
1651299619,11860,460,5455.6
1651299620,11860,460,5455.6
1651299621,11860,461,5467.46
1651299622,11860,462,5479.32
1651299623,11860,462,5479.32
1651299624,11860,461,5467.46
1651299625,11860,462,5479.32
1651299626,11860,461,5467.46
1651299627,11860,461,5467.46
1651299628,11860,460,5455.6
1651299629,11860,460,5455.6
1651299630,11860,460,5455.6
1651299631,11860,460,5455.6
1651299632,11860,460,5455.6
1651299633,11860,460,5455.6
1651299634,11860,462,5479.32
1651299635,11860,463,5491.18
1651299636,11860,460,5455.6
1651299637,11860,461,5467.46
1651299638,11860,462,5479.32
1651299639,11860,460,5455.6
1651299640,11860,461,5467.46
1651299641,11860,460,5455.6
1651299642,11860,462,5479.32
1651299643,11860,462,5479.32
1651299644,11860,461,5467.46
1651299645,11860,460,5455.6
1651299646,11860,462,5479.32
1651299647,11860,461,5467.46
1651299648,11860,462,5479.32
1651299649,11860,461,5467.46
1651299650,11860,460,5455.6
1651299651,11860,460,5455.6
1651299652,11860,460,5455.6
1651299653,11860,461,5467.46
1651299654,11860,460,5455.6
1651299655,11860,462,5479.32
1651299656,11860,461,5467.46
1651299657,11860,460,5455.6
1651299658,11860,462,5479.32
